Local: ,01-Jan-00,08:01:49 AM,tz_sec ,0
Linux Epoch (ms): ,946684909000
Epoch Delta TS,X,Y,Z,Magnitude
28808234,-84,136,185,244.493353693
28808275,-103,145,184,255.910140479
28808316,-95,137,182,246.815720731
28808356,-90,143,184,249.809927745
28808397,-103,147,188,259.926912804
28808437,-93,140,187,251.431899329
28808478,-88,145,187,252.4638588
28808518,-93,143,184,250.906357034
28808559,-93,140,179,245.540220738
28808600,-90,142,187,251.46172671
28808640,-97,137,188,252.035711755
28808681,-98,143,182,251.350353093
28808721,-100,140,180,248.99799196
28808762,-89,140,183,247.002024283
28808802,-98,145,183,253.215323391
28808843,-84,144,184,248.290152845
28808884,-84,143,185,248.455227355
28808924,-100,144,184,254.149562266
28808965,-87,145,184,249.899979992
28809004,-98,141,185,252.408399226
28809045,-101,143,190,258.360213655
28809086,-98,144,188,256.288899486
28809126,-88,142,184,248.523640727
28809167,-90,143,187,252.027776247
28809207,-93,150,179,251.376212081
28809248,-93,147,192,259.079138489
28809288,-95,143,187,253.85625854
28809329,-88,143,185,249.835946173
28809370,-89,145,187,252.814160996
28809410,-89,142,190,253.347587318
28809451,-93,148,182,252.34302051
28809491,-87,143,184,248.744849193
28809532,-89,146,184,251.183200075
28809572,-93,140,188,252.176525474
28809613,-96,142,187,253.67104683
28809654,-89,142,192,254.850936824
28809694,-87,144,188,252.287534373
28809735,-93,147,188,256.128873812
28809775,-98,145,187,256.121065124
28809816,-87,144,184,249.32107813
28809856,-87,138,184,245.904452989
28809897,-93,140,188,252.176525474
28809938,-100,145,184,254.717490566
28809978,-97,143,183,251.688299291
28810018,-88,139,187,249.066256245
28810058,-98,145,188,256.852097519
28810099,-90,140,180,245.153013443
28810139,-100,144,190,258.526594377
28810180,-95,140,188,252.920936263
28810221,-87,142,184,248.171311799
28810261,-93,140,184,249.20874784
28810302,-93,143,184,250.906357034
28810342,-94,140,188,252.547025324
28810383,-97,143,179,248.795096415
28810424,-101,140,184,252.3033888
28810464,-96,144,187,254.795996829
28810505,-93,143,184,250.906357034
28810545,-92,140,184,248.83729624
28810586,-96,143,187,254.23217735
28810626,-98,140,189,254.803846125
28810667,-95,140,184,249.961997112
28810708,-103,145,184,255.910140479
28810748,-95,143,185,252.386608203
28810789,-97,142,191,257.009727442
28810829,-92,143,188,253.489644759
28810870,-85,143,187,250.285836595
28810910,-97,140,184,250.728937301
28810951,-92,143,191,255.722505854
28810992,-90,143,184,249.809927745
28811031,-89,144,184,250.025998648
28811072,-108,140,185,255.908186661
28811112,-90,144,184,250.38370554
28811153,-100,144,186,255.601251953
28811193,-97,143,191,257.563584383
28811234,-96,143,184,252.033727902
28811275,-92,140,184,248.83729624
28811315,-89,140,184,247.743819297
28811356,-85,140,184,246.335137567
28811396,-87,140,184,247.032386541
28811437,-89,143,185,250.189927855
28811478,-93,142,182,248.871452762
28811518,-103,143,184,254.782259979
28811559,-97,143,188,255.346822968
28811599,-89,147,188,254.703749482
28811640,-90,142,188,252.206264791
28811680,-93,143,187,253.114598552
28811721,-87,144,182,247.848744197
28811762,-85,146,180,246.8623098
28811802,-99,143,185,253.919278512
28811843,-101,144,182,253.102745935
28811883,-101,142,190,257.808068144
28811924,-95,143,189,255.333115753
28811964,-92,143,182,249.072278666
28812004,-89,147,190,256.183527964
28812045,-89,140,188,250.728937301
28812085,-89,143,188,252.416322769
28812126,-92,140,185,249.57764323
28812166,-95,140,184,249.961997112
28812207,-96,142,184,251.467691762
28812247,-89,143,188,252.416322769
28812288,-93,147,188,256.128873812
28812329,-88,143,191,254.31083343
28812369,-87,144,188,252.287534373
28812410,-85,143,183,247.311544413
28812450,-98,151,184,257.412120927
28812491,-97,144,179,249.371209244
28812531,-92,142,187,252.184456301
28812572,-97,146,188,257.038907561
28812613,-85,147,190,254.821506157
28812653,-93,143,185,251.640616753
28812694,-87,144,190,253.781401998
28812734,-89,143,184,249.451398072
28812775,-90,140,184,248.104816559
28812816,-85,140,184,246.335137567
28812856,-89,137,183,245.31408439
28812897,-93,148,184,253.789282674
28812937,-100,140,190,256.32011236
28812978,-95,145,185,253.525146682
28813017,-97,144,185,253.712435643
28813058,-95,143,192,257.561643107
28813099,-90,144,184,250.38370554
28813139,-96,140,183,249.609695325
28813180,-100,142,188,255.945306657
28813220,-97,139,185,250.908349801
28813261,-103,143,188,257.685855258
28813301,-97,137,188,252.035711755
28813342,-100,140,188,254.841126979
28813383,-93,139,185,249.389253979
28813423,-93,133,182,243.848313507
28813464,-100,140,187,254.10430929
28813504,-97,140,185,251.463715076
28813545,-92,144,192,257.029181223
28813585,-92,144,185,251.843205189
28813626,-98,137,184,249.457411195
28813667,-90,136,184,245.869884288
28813707,-89,143,188,252.416322769
28813748,-103,143,184,254.782259979
28813788,-87,147,184,251.065728446
28813829,-90,140,188,251.08564276
28813870,-89,139,182,245.694932793
28813910,-87,140,183,246.288448775
28813951,-97,143,184,252.416322769
28813991,-90,145,184,250.9601562
28814031,-104,144,187,257.916653204
28814071,-92,144,183,250.377714663
28814112,-100,142,187,255.211676849
28814153,-90,143,184,249.809927745
28814193,-88,144,185,250.40966435
28814234,-90,140,182,246.625221743
28814274,-103,144,190,259.701752016
28814315,-88,144,187,251.890849377
28814355,-100,143,184,253.584305508
28814396,-95,143,188,254.593794111
28814437,-95,142,184,251.087634104
28814477,-89,142,188,251.851146513
28814518,-87,141,179,243.907769454
28814558,-95,141,183,249.789911726
28814599,-98,140,179,247.477271684
28814639,-96,147,184,254.324595743
28814680,-97,142,188,254.788147291
28814721,-100,148,184,256.437126797
28814761,-92,139,183,247.535855989
28814802,-89,142,185,249.61971076
28814842,-97,142,192,257.75375846
28814883,-89,148,184,252.350946105
28814923,-89,143,184,249.451398072
28814964,-93,142,187,252.550984952
28815004,-95,143,190,256.074207994
28815044,-100,143,190,257.970928595
28815085,-95,143,185,252.386608203
28815125,-100,147,187,258.027130356
28815166,-89,143,184,249.451398072
28815207,-93,144,184,251.4776332
28815247,-87,144,185,250.059992802
28815288,-92,144,184,251.109537852
28815328,-90,142,184,249.238841275
28815369,-89,142,185,249.61971076
28815409,-88,143,185,249.835946173
28815450,-101,144,184,254.544691557
28815491,-97,143,183,251.688299291
28815531,-98,144,188,256.288899486
28815572,-97,140,188,253.678930934
28815612,-98,143,191,257.941853913
28815653,-93,143,190,255.338990364
28815693,-89,144,183,249.290994623
28815734,-95,137,185,249.036141955
28815775,-89,145,192,256.534598056
