"Local: ",01-Jan-00,08:01:49 AM,"tz_sec ",0
"Linux Epoch (ms): ",946684909000,,,,,,,,,,,,,,,,,,,
,SLOT C (300.00Hz),,,SLOT D (300.00Hz),,,,SLOT E (300.00Hz),,,,SLOT F (300.00Hz),,,,SLOT G (300.00Hz),,,
,ADPDCLAppStream,,,ADPDCLAppStream,,,,ADPDCLAppStream,,,,ADPDCLAppStream,,,,ADPDCLAppStream,,,
,Epoch Delta TS,S1,,Epoch Delta TS,S1,S2,,Epoch Delta TS,S1,S2,,Epoch Delta TS,S1,S2,,Epoch Delta TS,S1,S2,
,28803005,2243,,28803005,209327,0,,28803005,1535,38,,28803005,213908,163,,28803005,388614,0
,28803005,2301,,28803005,209430,0,,28803005,1573,45,,28803005,213979,177,,28803005,388613,0
,28803086,2244,,28803086,209447,0,,28803086,1526,61,,28803086,214043,178,,28803086,388568,0
,28803086,2214,,28803086,209584,0,,28803086,1569,0,,28803086,214114,168,,28803086,388613,0
,28803167,2226,,28803167,209560,0,,28803167,1512,94,,28803167,214065,180,,28803167,388560,0
,28803167,2279,,28803167,209492,0,,28803167,1497,12,,28803167,213936,154,,28803167,388474,0
,28803248,2193,,28803248,209446,0,,28803248,1551,90,,28803248,213817,131,,28803248,388446,0
,28803248,2206,,28803248,209378,0,,28803248,1577,14,,28803248,213766,152,,28803248,388427,0
,28803330,2179,,28803330,209372,0,,28803330,1526,36,,28803330,213734,181,,28803330,388503,0
,28803330,2218,,28803330,209322,0,,28803330,1486,67,,28803330,213696,142,,28803330,388432,0
,28803411,2192,,28803411,209305,0,,28803411,1583,74,,28803411,213706,165,,28803411,388405,0
,28803411,2174,,28803411,209302,0,,28803411,1577,46,,28803411,213584,167,,28803411,388408,0
,28803492,2185,,28803492,209254,0,,28803492,1507,0,,28803492,213613,134,,28803492,388321,0
,28803492,2229,,28803492,209264,0,,28803492,1521,46,,28803492,213531,126,,28803492,388351,0
,28803573,2168,,28803573,209318,0,,28803573,1549,9,,28803573,213623,184,,28803573,388421,0
,28803573,2294,,28803573,209333,0,,28803573,1523,0,,28803573,213631,151,,28803573,388345,0
,28803654,2237,,28803654,209369,0,,28803654,1552,5,,28803654,213664,183,,28803654,388390,0
,28803654,2199,,28803654,209433,0,,28803654,1525,0,,28803654,213720,125,,28803654,388402,0
,28803735,2210,,28803735,209434,0,,28803735,1577,0,,28803735,213782,152,,28803735,388415,0
,28803735,2219,,28803735,209550,0,,28803735,1567,33,,28803735,213842,134,,28803735,388449,0
,28803816,2203,,28803816,209569,0,,28803816,1547,55,,28803816,213888,169,,28803816,388374,0
,28803816,2317,,28803816,209609,0,,28803816,1572,53,,28803816,213961,171,,28803816,388351,0
,28803898,2293,,28803898,209625,0,,28803898,1574,49,,28803898,213923,126,,28803898,388326,0
,28803898,2246,,28803898,209521,0,,28803898,1596,7,,28803898,213787,142,,28803898,388272,0
,28803979,2258,,28803979,209466,0,,28803979,1573,28,,28803979,213655,132,,28803979,388254,0
,28803979,2160,,28803979,209452,0,,28803979,1519,51,,28803979,213595,146,,28803979,388315,0
,28804059,2231,,28804059,209445,0,,28804059,1483,49,,28804059,213588,159,,28804059,388327,0
,28804059,2196,,28804059,209428,0,,28804059,1627,48,,28804059,213546,159,,28804059,388312,0
,28804140,2182,,28804140,209441,0,,28804140,1505,18,,28804140,213626,135,,28804140,388331,0
