"Local: ",18-Oct-24,02:51:39 PM,"tz_sec ",28800
"Linux Epoch (ms): ",1729234299000,,,
,SLOT C (∞Hz),,
,ADPDCLAppStream,,
,Epoch Delta TS,S1,
,74,57467
,74,57471
,115,57497
,115,57519
,155,57487
,155,57441
,196,57388
,196,57373
,237,57344
,237,57320
,277,57285
,277,57294
,318,57286
,318,57263
,358,57269
,358,57290
,399,57293
,399,57274
,439,57256
,439,57245
,480,57260
,480,57250
,521,57226
,521,57249
,561,57225
,561,57230
,602,57224
,602,57240
,642,57274
,642,57286
,683,57281
,683,57280
,723,57291
,723,57299
,764,57298
,764,57313
,805,57312
,805,57318
,845,57319
,845,57339
,886,57340
,886,57329
,926,57361
,926,57325
,967,57351
,967,57323
,1006,57276
,1006,57219
,1047,57201
,1047,57193
,1088,57161
,1088,57127
,1128,57120
,1128,57116
,1169,57144
,1169,57124
,1209,57113
,1209,57132
,1250,57132
,1250,57128
,1291,57098
,1291,57077
,1331,57079
,1331,57078
,1372,57093
,1372,57081
,1412,57076
,1412,57099
,1453,57116
,1453,57112
,1493,57110
,1493,57133
,1534,57125
,1534,57124
,1575,57117
,1575,57146
,1615,57170
,1615,57160
,1656,57185
,1656,57174
,1696,57193
,1696,57199
,1737,57202
,1737,57208
,1777,57227
,1777,57253
,1818,57247
,1818,57211
,1859,57164
,1859,57112
,1899,57083
,1899,57053
,1940,57032
,1940,57003
,1980,56967
,1980,56941
,2020,56936
,2020,56931
,2060,56924
,2060,56943
,2101,56950
,2101,56916
,2142,56904
,2142,56893
,2182,56899
,2182,56897
,2223,56889
,2223,56914
,2263,56901
,2263,56893
,2304,56905
,2304,56928
,2344,56968
,2344,56955
,2385,56943
,2385,56980
,2426,56992
,2426,56982
,2466,56970
,2466,56968
,2507,57003
,2507,57017
,2547,57027
,2547,57018
,2588,57041
,2588,57037
,2628,57058
,2628,57074
,2669,57093
,2669,57095
,2710,57100
,2710,57087
,2750,57054
,2750,57001
,2791,56953
,2791,56909
,2831,56877
,2831,56853
,2872,56840
,2872,56829
,2912,56829
,2912,56810
,2953,56804
,2953,56822
,2994,56817
,2994,56821
,3033,56819
,3033,56780
,3074,56773
,3074,56790
,3114,56796
,3114,56786
,3155,56775
,3155,56786
,3195,56797
,3195,56781
,3236,56789
,3236,56834
,3277,56838
,3277,56841
,3317,56852
,3317,56860
,3358,56857
,3358,56879
,3398,56915
,3398,56924
,3439,56949
,3439,56979
,3479,56971
,3479,56984
,3520,57013
,3520,57018
,3561,57014
,3561,57007
,3601,56990
,3601,56969
,3642,57012
,3642,57045
,3682,57038
,3682,57007
,3723,56973
,3723,56937
,3763,56928
,3763,56914
,3804,56884
,3804,56888
,3845,56885
,3845,56862
,3885,56852
,3885,56874
,3926,56890
,3926,56882
,3966,56889
,3966,56905
,4006,56893
,4006,56887
,4046,56906
,4046,56905
,4087,56907
,4087,56901
,4128,56907
,4128,56939
,4168,56941
,4168,56946
,4209,56968
,4209,56962
,4249,56988
,4249,56992
,4290,57010
,4290,57024
,4330,57025
,4330,57038
,4371,57050
,4371,57069
,4412,57077
,4412,57106
,4452,57085
,4452,57088
,4493,57123
,4493,57121
,4533,57147
,4533,57149
,4574,57178
,4574,57163
,4614,57125
,4614,57098
,4655,57070
,4655,57049
,4696,57043
,4696,57008
,4736,56990
,4736,57002
,4777,57010
,4777,57005
,4817,56999
,4817,57019
,4858,57038
,4858,57037
,4898,57002
,4898,57001
,4939,57004
,4939,57042
,4980,57037
,4980,57027
,5019,57035
,5019,57049
,5060,57065
,5060,57064
,5100,57079
,5100,57095
,5141,57122
,5141,57110
,5181,57115
,5181,57147
,5222,57163
,5222,57159
,5263,57179
,5263,57181
,5303,57182
,5303,57202
,5344,57222
,5344,57246
,5384,57253
,5384,57261
,5425,57248
,5425,57269
,5465,57253
,5465,57235
,5506,57211
,5506,57181
,5547,57164
,5547,57163
,5587,57140
,5587,57099
,5628,57117
,5628,57136
,5668,57135
,5668,57125
,5709,57127
,5709,57165
,5749,57165
,5749,57132
,5790,57116
,5790,57118
,5831,57138
,5831,57125
,5871,57133
,5871,57134
,5912,57142
,5912,57144
,5952,57154
,5952,57183
,5993,57201
,5993,57194
,6032,57194
,6032,57225
,6073,57225
,6073,57243
,6114,57251
,6114,57309
,,,,,,,,,,,,
