Local: ,18-Oct-24,02:51:39 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234299000
Epoch Delta TS,LibState,HR,Confidence,Debug Info
683,7,72.38,77.15,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
1697,7,71.56,78.13,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
2710,7,71.13,81.54,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
3723,7,71.00,88.77,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
4737,7,70.69,98.73,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
5750,7,70.25,100.00,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
