Local: ,18-Oct-24,02:51:49 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234309000
Epoch Delta TS,X,Y,Z,Magnitude
836,124,-5,236,266.640207021
857,120,1,227,256.768378115
877,121,-2,226,256.361073488
897,112,3,236,261.245095648
918,118,6,231,259.46290679
938,113,-4,224,250.920306073
958,120,-1,231,260.311352038
978,116,-2,231,258.497582194
999,119,-4,233,261.660084843
1018,124,-1,233,263.943175703
1038,120,-1,232,261.199157732
1059,121,1,225,255.474069134
1079,119,3,231,259.867273815
1099,113,-2,231,257.165316479
1119,112,-1,232,257.621815846
1140,118,-4,232,260.315193563
1160,116,-1,227,254.923517942
1180,110,-1,231,255.855427928
1201,111,-4,232,257.217806538
1221,111,3,233,258.106567138
1241,120,1,231,260.311352038
1261,116,3,232,259.401233613
1282,125,1,228,260.019230058
1302,111,-5,231,256.333766796
1322,108,2,231,255.007843017
1343,120,-1,235,263.867390937
1363,120,-1,231,260.311352038
1383,116,3,233,260.295985371
1403,120,-1,228,257.652867246
1424,112,1,231,256.721639135
1444,112,-1,231,256.721639135
1464,110,-1,233,257.662570041
1485,111,-4,236,260.831363145
1505,115,-4,231,258.073632903
1525,115,-2,232,258.945940304
1545,113,3,236,261.675371405
1566,115,0,231,258.042632137
1586,115,-1,236,262.529998286
1606,112,-1,233,258.522726274
1627,115,-5,229,256.302555586
1647,120,-2,231,260.317114305
1667,116,5,227,254.970586539
1687,126,-2,230,262.259413558
1708,115,1,231,258.044569794
1728,108,3,231,255.017646448
1748,116,-1,231,258.491779366
1769,108,-5,233,256.861830563
1789,112,4,228,254.055112131
1809,110,-1,233,257.662570041
1829,120,-1,227,256.768378115
1850,119,-4,235,263.442593367
1870,123,3,227,258.199535244
1890,120,-1,231,260.311352038
1911,117,-2,227,255.385982387
1931,108,-3,228,252.3033888
1951,120,6,231,260.378570547
1971,120,-1,232,261.199157732
1992,123,4,227,258.213090296
2011,120,-4,230,259.453271323
2031,113,3,227,253.588248939
2052,116,3,235,262.087771558
2072,113,3,231,257.175037669
2092,111,-2,231,256.292801304
2112,115,0,233,259.834562751
2133,119,-4,232,260.770013614
2153,118,-2,238,265.653910191
2173,120,-1,231,260.311352038
2194,110,2,227,252.255822529
2214,113,3,235,260.773848382
2234,111,-7,235,259.990384438
2254,112,3,235,260.342082653
2275,113,6,227,253.641479258
2295,123,-4,231,261.736508726
2315,124,-1,227,258.661941538
2336,115,-1,232,258.940147524
2356,107,4,230,253.702581776
2376,112,-1,227,253.128425903
2396,111,-4,235,259.926912804
2417,112,-1,231,256.721639135
2437,111,7,231,256.380576487
2457,120,-1,235,263.867390937
2478,124,3,228,259.555389079
2498,120,-3,227,256.783955885
2518,124,-1,231,262.179327942
2538,119,-5,232,260.787269628
2559,121,3,231,260.789186892
2579,124,1,233,263.943175703
2599,108,-1,230,254.096438385
2620,116,-2,231,258.497582194
2640,113,1,229,255.36444545
2660,112,-1,227,253.128425903
2680,116,7,229,256.79953271
2701,118,-1,236,263.857916311
2721,115,-4,230,257.178926042
2741,126,-5,231,263.176746693
2762,124,-1,236,266.595198756
2782,112,-2,230,255.828067264
2802,122,-1,227,257.709138371
2822,112,4,235,260.355526156
2843,112,-1,236,261.229783907
2863,112,3,231,256.73721974
2883,112,-1,230,255.822203884
2904,113,3,231,257.175037669
2924,124,-4,230,261.327380885
2944,123,0,232,262.58903252
2964,118,-1,233,261.178100154
2985,123,1,232,262.59093663
3004,108,3,232,255.923816789
3024,110,1,233,257.662570041
3045,103,0,233,254.750858684
3065,113,-1,231,257.159483589
3085,120,4,230,259.453271323
3105,123,-4,233,263.503320662
3126,124,-1,231,262.179327942
3146,120,4,232,261.227869876
3166,120,3,233,262.103033176
3187,123,-1,231,261.707852385
3207,120,-2,228,257.658688967
3227,124,-1,231,262.179327942
3248,119,-4,230,258.992277877
3268,116,-4,233,260.309431254
3288,116,1,233,260.280617795
3308,111,2,232,257.194478945
3329,124,3,224,256.048823469
3349,120,-1,231,260.311352038
3369,119,1,228,257.188646717
3390,112,-1,233,258.522726274
3410,118,-1,236,263.857916311
3430,115,-4,231,258.073632903
3450,115,-1,231,258.044569794
3471,119,3,227,256.318161666
3491,124,-1,231,262.179327942
3511,121,-5,231,260.819861207
3532,124,1,225,256.908544039
3552,123,0,225,256.425427756
3572,120,6,228,257.720779139
3592,111,7,231,256.380576487
3613,119,3,231,259.867273815
3633,115,-4,231,258.073632903
3653,118,-4,231,259.424362773
3674,113,-4,238,263.493832945
3694,116,1,228,255.814385835
3714,119,3,227,256.318161666
3734,113,3,236,261.675371405
3755,112,1,232,257.621815846
3775,124,-4,227,258.690935288
3795,120,-4,230,259.453271323
3816,115,1,236,262.529998286
3836,119,4,228,257.217806538
3856,124,-1,231,262.179327942
3876,119,3,231,259.867273815
3897,110,-1,231,255.855427928
3917,120,-2,231,260.317114305
3937,120,-5,230,259.470614907
3958,120,-1,232,261.199157732
3978,116,-4,227,254.952936833
3998,121,1,230,259.888437604
4017,112,-1,231,256.721639135
4038,113,-4,225,251.813422994
4058,112,4,230,255.85151944
4078,118,-1,230,258.505319094
4099,110,-7,235,259.565020756
4119,108,3,232,255.923816789
4139,118,-1,231,259.395451001
4159,120,3,233,262.103033176
4180,120,-1,234,262.977185322
4200,113,1,232,258.058132986
